company_name,company_location,reporting_quarter,economic_condition_tag,revenue_growth,profit_margin,stock_price_change,past_layoffs,total_employees,job_title,tech_stack,role_demand_index,department_resilience_index,tech_stack_trend_score,years_at_company,salary_range,performance_rating,department,remote_work,role_layoff_rate,industry,industry_layoff_rate,unemployment_rate,inflation_rate
Accenture India Pvt Ltd,Mumbai,Q4 2025,Stable,9.85,20.74,20.33,Yes,331542,Machine Learning Engineer,LLM Ops + Vector DB + Python,9.76,8.54,9.71,2,2718597,4,Analytics,Yes,0.033,Consulting,1.12,5.8,5.16
Meta India,Bengaluru,Q2 2023,Recovery,7.64,18.14,15.31,Yes,7519,Senior Software Engineer,.NET + Azure,7.94,7.04,6.93,1,2308771,3,Engineering,No,2.299,Information Technology,1.77,7.24,6.46
Facebook India,Mumbai,Q3 2025,Recovery,8.5,18.31,14.28,Yes,5884,Machine Learning Engineer,Python + TensorFlow + MLOps,9.24,7.56,9.08,5,5078650,5,Analytics,No,0.228,Information Technology,1.69,5.33,5.41
HCL Technologies,Bengaluru,Q3 2025,Growth,5.92,17.95,22.01,No,247952,Senior Software Engineer,Python + Django,8.69,8.17,5.67,1,2099445,4,Engineering,Yes,1.546,Information Technology,0.78,5.06,5.22
ICICI Bank,Pune,Q3 2025,Stable,7.6,21.48,14.94,No,139801,Engineering Manager,Agile + Jira + Architecture Reviews,6.78,6.73,7.14,2,3223452,3,Management,Yes,1.075,Financial Services,0.57,5.8,5.36
Tech Mahindra Ltd.,Bengaluru,Q3 2024,Stable,10.06,17.88,14.16,No,129956,Technical Lead,.NET + Azure,7.5,8.8,7.03,2,2458883,4,Engineering,Yes,0.827,Information Technology,1.51,5.59,5.55
Infosys,Gurugram,Q4 2024,Stable,11.8,19.01,17.44,No,305116,Senior Software Engineer,Java + Spring Boot,7.42,8.0,6.9,8,2259338,3,Engineering,Yes,1.218,Information Technology,1.75,6.38,5.31
Jio Platforms,Mumbai,Q1 2025,Growth,8.6,14.27,11.77,No,83969,HR Specialist,HRMS + Excel + Analytics,5.71,5.87,4.93,6,1379058,2,HR,Yes,3.503,Telecommunications,1.44,6.06,5.21
HCL Technologies,Chennai,Q3 2023,Recovery,8.94,12.14,15.03,No,218688,Software Engineer,Node.js + React,8.48,7.26,7.0,7,1615044,5,Analytics,Yes,1.355,Information Technology,1.9,6.01,5.87
Cipla,Gurugram,Q3 2023,Growth,6.42,17.58,13.87,No,26072,QA Engineer,Selenium + Cypress + API Testing,6.61,8.49,6.6,1,1227609,3,Engineering,No,1.023,Healthcare,0.25,7.39,6.13
HCL Technologies,Pune,Q3 2025,Recession,9.39,17.91,17.77,Yes,259732,QA Engineer,Playwright + CI Test Automation,5.85,8.0,7.05,3,1417894,4,Engineering,No,2.739,Information Technology,2.53,5.93,5.3
Infosys,Pune,Q1 2025,Stable,10.44,17.75,20.14,No,346443,Software Engineer,Go + Microservices,7.59,8.31,8.11,3,996606,3,Engineering,Yes,0.943,Information Technology,1.39,5.8,5.24
HDFC Bank,Coimbatore,Q1 2024,Stable,5.4,22.26,17.64,No,179467,Software Engineer,Node.js + React,8.15,7.8,6.66,4,1493785,3,Engineering,No,1.135,Financial Services,0.81,7.03,5.6
Sun Pharma,Hyderabad,Q2 2024,Recovery,4.39,17.11,5.24,No,41603,Cybersecurity Analyst,Cloud Security + IAM + Zero Trust,8.39,6.58,8.48,5,2155687,5,IT,No,0.441,Healthcare,1.28,6.24,5.97
Razorpay,Chennai,Q4 2025,Growth,5.35,21.61,12.55,No,10730,Software Engineer,Node.js + React,8.23,8.93,6.83,5,1745323,4,Engineering,Yes,0.934,Financial Services,0.82,5.72,5.45
Capgemini India,Mumbai,Q2 2024,Stable,12.27,19.39,10.98,Yes,187167,Software Engineer,Node.js + React,7.65,8.48,6.41,6,1800132,3,Engineering,Yes,1.744,Consulting,1.12,5.93,5.77
Jio Platforms,Noida,Q1 2023,Recovery,5.98,14.34,17.97,No,85195,Business Analyst,Data Modeling + Power BI + Requirements,5.9,5.93,6.44,3,2394203,3,Management,No,2.545,Telecommunications,2.18,8.22,6.93
Wipro Limited,Bengaluru,Q3 2023,Recession,8.32,12.93,4.32,No,240026,Business Analyst,SQL + Excel + Process Mapping,7.26,6.87,6.21,5,1889369,4,Management,Yes,2.217,Information Technology,2.44,6.44,6.22
Tata Consultancy Services (TCS),Chennai,Q3 2024,Recovery,7.59,19.34,12.02,No,635886,Site Reliability Engineer,Linux + Prometheus + Grafana,8.15,8.36,7.28,1,2398856,4,Engineering,Yes,1.244,Information Technology,1.5,6.09,5.45
EY India,Bengaluru,Q3 2023,Recovery,5.21,16.61,7.44,No,79347,Senior Software Engineer,Node.js + React,7.55,6.69,7.57,2,2270329,3,Engineering,Yes,1.017,Consulting,1.67,6.54,6.8
Infosys,Chennai,Q2 2023,Stable,7.47,18.71,18.2,No,365710,Product Manager,Roadmapping + Jira + Experimentation,7.41,6.98,7.34,5,2426002,3,Product,Yes,1.103,Information Technology,1.04,7.44,6.4
HDFC Bank,Bengaluru,Q2 2023,Stable,2.37,21.4,19.63,No,167683,Machine Learning Engineer,PyTorch + Kubernetes + MLflow,9.76,7.81,7.92,8,4921729,4,Analytics,No,0.062,Financial Services,0.84,7.06,6.77
Axis Bank,Mumbai,Q3 2024,Growth,8.64,21.96,12.26,No,101064,Technical Lead,Node.js + Microservices,6.89,7.49,6.94,6,3861395,4,Engineering,Yes,1.171,Financial Services,1.01,5.71,5.42
Tata Consultancy Services (TCS),Noida,Q1 2024,Growth,8.93,16.68,9.79,No,658037,DevOps Engineer,Linux + Ansible + Observability,7.78,7.9,7.26,3,2113451,2,Engineering,Yes,1.275,Information Technology,0.49,6.41,5.83
ICICI Bank,Hyderabad,Q2 2023,Stable,8.35,19.62,11.47,No,115438,Finance Analyst,SAP + Financial Modeling,5.96,6.4,5.82,6,2226662,4,Finance,No,1.357,Financial Services,1.05,7.49,6.31
Infosys,Kochi,Q2 2024,Growth,11.08,16.54,29.34,No,357331,UI/UX Designer,Figma + Design Systems,6.6,7.44,6.92,17,2341068,3,Product,Yes,1.706,Information Technology,1.15,6.7,5.51
Wipro Limited,Chennai,Q4 2025,Stable,6.9,20.09,21.2,No,247348,Site Reliability Engineer,Kubernetes + SRE + Observability,8.68,8.52,8.47,7,2324830,5,Engineering,Yes,0.01,Information Technology,1.48,6.19,5.12
Deloitte India,Coimbatore,Q1 2025,Stable,7.93,21.68,12.68,Yes,102229,QA Engineer,Manual QA + Regression Testing,5.46,8.77,2.52,4,1285457,3,Engineering,No,3.402,Consulting,1.51,6.44,4.76
Wipro Limited,Bengaluru,Q3 2023,Recovery,10.55,21.19,12.72,Yes,211707,Customer Success Manager,CRM + Customer Analytics,6.14,6.41,6.21,4,1799329,3,Operations,No,3.085,Information Technology,2.01,7.47,6.52
Cognizant India,Hyderabad,Q3 2023,Stable,2.48,13.7,14.54,Yes,246180,Senior Software Engineer,Python + Django,8.61,6.51,6.2,2,2175185,4,Sales,Yes,1.393,Information Technology,0.99,6.8,6.33
Vodafone Idea,Bengaluru,Q2 2025,Stable,4.06,12.43,9.16,No,10801,Project Manager,Program Planning + Risk Tracking,6.44,7.15,5.73,15,4560007,5,Management,No,1.58,Telecommunications,1.42,5.6,5.11
Cipla,Kolkata,Q4 2023,Recession,3.95,15.49,14.8,Yes,26695,Sales Executive,CRM + Sales Analytics,5.12,5.21,5.04,11,1877543,4,Sales,No,3.082,Healthcare,2.04,6.99,6.05
Tata Motors,Noida,Q2 2025,Stable,10.59,14.73,14.42,Yes,74742,Business Analyst,SQL + Excel + Process Mapping,7.06,6.57,6.38,5,2149771,4,Management,Yes,1.416,Manufacturing,1.06,6.06,5.32
Capgemini India,Chennai,Q3 2025,Growth,10.78,21.48,10.81,No,182950,Project Manager,Agile + Jira + Stakeholder Management,6.56,7.04,6.69,8,3265751,2,Management,Yes,1.913,Consulting,0.91,6.3,5.04
Mphasis,Chennai,Q4 2025,Recovery,6.45,15.85,15.77,Yes,31352,Data Scientist,PySpark + MLflow + Python,8.02,7.2,8.96,1,1780322,3,Analytics,Yes,1.275,Information Technology,1.71,6.14,5.42
Mphasis,Hyderabad,Q2 2024,Recovery,3.86,17.27,16.9,Yes,38002,Project Manager,Agile + Jira + Stakeholder Management,6.73,5.76,6.35,4,2455047,3,Management,Yes,2.591,Information Technology,1.65,6.05,5.77
Vodafone Idea,Kolkata,Q4 2024,Stable,8.43,12.52,8.02,No,10948,Solution Architect,Cloud Architecture + Microservices,8.26,8.28,8.29,5,2960074,3,Engineering,No,1.369,Telecommunications,1.74,6.91,5.49
PwC India,Hyderabad,Q3 2023,Stable,10.26,14.68,22.66,No,71086,Site Reliability Engineer,Linux + Prometheus + Grafana,8.3,8.73,6.98,6,3378214,4,Engineering,Yes,0.01,Consulting,0.83,7.11,6.49
Jio Platforms,Kolkata,Q3 2024,Growth,8.05,13.86,9.33,No,98827,Business Analyst,SQL + Excel + Process Mapping,6.23,7.0,5.57,6,1560449,4,Management,No,1.923,Telecommunications,1.27,6.98,5.6
Capgemini India,Mumbai,Q4 2024,Stable,5.58,18.33,14.63,No,173754,Solution Architect,Enterprise Integration + API Design,7.64,5.18,6.87,5,4234594,4,HR,No,1.618,Consulting,1.32,5.53,5.09
Tata Consultancy Services (TCS),Mumbai,Q3 2025,Recession,4.45,17.57,10.86,No,589381,Site Reliability Engineer,Kubernetes + SRE + Observability,7.54,7.84,9.03,3,2398743,3,Engineering,No,2.185,Information Technology,2.54,6.21,4.97
Jio Platforms,Pune,Q3 2023,Growth,8.17,12.61,17.4,Yes,86275,Business Analyst,SQL + Excel + Process Mapping,6.66,6.73,6.07,4,2127521,4,Management,No,2.431,Telecommunications,1.77,6.68,6.12
Accenture India Pvt Ltd,Pune,Q3 2024,Growth,14.3,21.52,13.08,No,290816,QA Engineer,Playwright + CI Test Automation,6.18,8.05,7.31,1,1273355,3,Engineering,Yes,1.372,Consulting,0.62,6.1,5.3
Meesho,Mumbai,Q3 2024,Stable,11.92,9.4,17.45,No,6435,Machine Learning Engineer,Python + TensorFlow + MLOps,9.54,8.12,8.6,1,2192727,3,Analytics,Yes,0.536,E-commerce,1.8,5.42,6.17
Amazon India,Chennai,Q1 2025,Recession,9.46,13.18,4.63,No,105650,Data Analyst,SQL + Tableau + Python,6.75,7.22,5.66,2,1862602,5,Analytics,No,2.389,E-commerce,3.03,5.7,5.21
Netflix India,Mumbai,Q4 2024,Stable,11.19,18.62,17.99,No,2562,Product Manager,Product Analytics + SQL + A/B Testing,7.57,7.79,7.25,4,5498715,4,Product,No,1.285,Information Technology,1.51,5.46,5.6
Larsen & Toubro,Mumbai,Q2 2024,Growth,7.76,14.11,10.48,Yes,52369,Solution Architect,Cloud Architecture + Microservices,8.14,7.48,8.05,6,5368865,3,Engineering,No,1.359,Manufacturing,1.02,6.44,5.55
Flipkart Internet Pvt Ltd,Bengaluru,Q4 2023,Recovery,7.01,11.77,4.72,Yes,41279,Cloud Engineer,GCP + Docker + Networking,8.37,7.84,7.62,5,3233773,4,Engineering,No,2.197,E-commerce,2.46,6.82,6.23
Cognizant India,Noida,Q4 2024,Growth,10.78,18.72,5.4,No,285726,Data Analyst,SQL + Power BI + Excel,6.98,7.55,6.81,12,2482750,3,Analytics,Yes,0.514,Information Technology,0.99,6.18,5.19
Tata Consultancy Services (TCS),Mumbai,Q2 2024,Stable,11.47,19.01,16.4,Yes,560455,Senior Software Engineer,Java + Spring Boot,6.73,8.05,6.79,8,1950187,4,Engineering,No,1.725,Information Technology,1.41,6.13,5.58
Wipro Limited,Noida,Q1 2023,Recovery,8.09,14.33,10.37,No,257221,Finance Analyst,SAP + Financial Modeling,5.76,5.23,6.15,4,1516125,3,Finance,No,2.168,Information Technology,1.5,7.94,7.2
Mphasis,Pune,Q4 2025,Recovery,6.39,17.72,6.69,Yes,30363,Software Engineer,Python + FastAPI,7.91,7.66,6.91,2,1434817,4,Engineering,Yes,1.578,Information Technology,1.74,6.17,5.21
Tata Consultancy Services (TCS),Mumbai,Q2 2023,Recovery,3.94,17.04,21.48,No,654068,Site Reliability Engineer,AWS + Incident Response,8.1,7.83,6.93,3,2832432,5,Engineering,Yes,0.493,Information Technology,1.68,7.55,6.79
Razorpay,Bengaluru,Q2 2025,Growth,8.76,19.92,18.08,Yes,14325,Software Engineer,Go + Microservices,8.47,7.79,7.5,5,1809299,4,Engineering,No,1.914,Financial Services,0.9,5.38,4.79
Vodafone Idea,Bengaluru,Q1 2023,Stable,3.24,13.77,-0.67,Yes,9388,Technical Lead,.NET + Azure,7.23,8.56,6.89,2,2679365,4,Engineering,Yes,1.445,Telecommunications,1.13,7.16,7.02
Axis Bank,Bengaluru,Q1 2025,Recovery,8.21,22.1,16.01,Yes,83118,Cloud Engineer,Azure + DevOps + IaC,8.87,7.98,8.78,6,5021677,3,Engineering,Yes,1.001,Financial Services,1.23,5.06,5.37
Microsoft India,Pune,Q1 2025,Growth,13.75,18.96,17.95,Yes,23938,DevOps Engineer,Docker + Kubernetes + AWS,8.99,8.32,8.76,5,2796284,4,Engineering,Yes,0.01,Information Technology,0.89,5.28,4.73
HDFC Bank,Bengaluru,Q1 2023,Recession,2.78,19.84,15.38,No,172674,Product Manager,Roadmapping + Jira + Experimentation,7.19,6.06,7.11,4,3082120,3,Product,No,2.177,Financial Services,2.39,7.63,7.07
Tata Consultancy Services (TCS),Noida,Q2 2025,Stable,12.58,18.5,19.87,No,624848,Accountant,SAP Finance + Compliance,5.42,6.09,5.42,5,1318763,4,Finance,Yes,2.405,Information Technology,1.47,5.93,5.17
ICICI Bank,Chennai,Q2 2024,Growth,9.93,24.1,17.15,No,139106,Technical Lead,.NET + Azure,7.98,8.15,6.73,5,3174144,4,Engineering,Yes,0.604,Financial Services,0.74,6.1,6.24
Mphasis,Pune,Q2 2023,Growth,7.15,20.11,17.42,No,33570,Recruiter,Sourcing Automation + Talent Analytics,5.05,4.97,6.05,5,999049,4,HR,Yes,2.689,Information Technology,1.57,7.78,6.94
HCL Technologies,Kolkata,Q4 2023,Stable,9.94,18.04,13.7,Yes,195754,Software Engineer,Python + FastAPI,8.06,7.56,7.15,13,1560611,2,Engineering,No,1.808,Information Technology,1.46,8.0,6.1
Netflix India,Hyderabad,Q1 2024,Stable,11.43,17.83,21.22,No,3107,Project Manager,Agile + Jira + Stakeholder Management,6.37,6.44,6.24,6,5662679,4,Management,No,1.574,Information Technology,1.69,6.59,6.03
IBM India,Chennai,Q2 2025,Growth,8.88,21.15,11.01,Yes,128437,Accountant,Tally + Excel + GST,5.12,5.54,4.22,6,1368338,4,Finance,Yes,3.424,Information Technology,0.93,5.29,5.04
Persistent Systems,Bengaluru,Q1 2025,Recession,4.12,17.32,12.75,Yes,28242,Software Engineer,Java + Spring Boot,7.97,8.07,7.56,2,1649357,4,Engineering,Yes,1.984,Information Technology,1.98,5.73,5.32
Sun Pharma,Hyderabad,Q4 2025,Recession,-2.16,17.87,6.97,No,36374,Software Engineer,Java + Spring Boot,8.14,7.12,7.45,4,1756717,2,Engineering,Yes,2.527,Healthcare,2.21,6.13,5.51
Infosys,Noida,Q4 2023,Stable,3.96,15.74,13.33,No,321290,Software Engineer,Node.js + React,8.45,8.85,8.06,2,1354537,3,Engineering,Yes,0.739,Information Technology,1.3,6.85,6.45
Cognizant India,Pune,Q4 2023,Recovery,3.4,19.39,12.52,Yes,265762,DevOps Engineer,Terraform + CI/CD + GCP,8.43,5.96,7.79,9,2861076,4,HR,Yes,1.387,Information Technology,1.46,7.0,5.77
Cipla,Bengaluru,Q4 2024,Growth,9.87,20.01,15.95,No,27607,DevOps Engineer,Terraform + CI/CD + GCP,9.55,8.93,7.97,2,2296347,3,Engineering,Yes,0.01,Healthcare,0.25,5.56,5.14
Paytm,Chennai,Q3 2024,Recovery,10.71,21.09,3.93,No,17835,Senior Software Engineer,Java + Spring Boot,7.26,7.54,6.87,2,2121117,3,Engineering,Yes,1.852,Financial Services,1.51,6.05,5.3
PwC India,Chennai,Q1 2025,Stable,8.87,17.69,17.53,No,67569,Product Manager,Product Analytics + SQL + A/B Testing,7.4,7.16,7.36,1,2779706,3,Product,Yes,0.7,Consulting,1.16,5.57,5.37
Cognizant India,Bengaluru,Q4 2024,Recovery,5.09,16.36,19.93,Yes,211684,Support Engineer,Ticketing + Debugging + Scripting,6.44,6.34,5.21,9,1417300,3,IT,Yes,3.333,Information Technology,2.05,5.37,5.42
Mahindra & Mahindra,Hyderabad,Q2 2025,Growth,5.39,14.49,14.68,No,85834,Software Engineer,Go + Microservices,8.11,8.52,7.02,5,2035609,4,Engineering,No,0.697,Manufacturing,1.05,6.28,4.97
Amazon India,Pune,Q2 2024,Stable,10.8,10.64,20.82,Yes,113440,Software Engineer,Python + FastAPI,7.68,8.31,6.46,1,1639430,3,Engineering,Yes,1.702,E-commerce,1.8,6.4,5.67
IBM India,Pune,Q1 2023,Growth,9.01,19.65,11.65,No,156313,Data Scientist,Python + ML + SQL,8.06,8.49,7.44,4,2871275,4,Analytics,Yes,0.693,Information Technology,1.19,8.13,6.7
Mphasis,Hyderabad,Q1 2023,Recovery,6.61,18.96,13.72,No,40121,Cloud Engineer,GCP + Docker + Networking,9.47,7.66,8.0,5,1906692,3,Engineering,Yes,0.538,Information Technology,2.12,7.62,6.85
Infosys,Bengaluru,Q1 2023,Recession,2.44,12.94,12.35,No,375101,DevOps Engineer,Docker + Kubernetes + AWS,8.38,7.63,8.26,6,3075505,4,Engineering,Yes,1.866,Information Technology,2.59,7.79,7.01
LTIMindtree,Pune,Q1 2024,Growth,14.35,20.24,19.52,No,91975,Business Analyst,SQL + Excel + Process Mapping,6.22,6.89,4.84,5,1842072,2,Management,Yes,3.306,Information Technology,1.2,6.8,6.14
Infosys,Hyderabad,Q3 2025,Stable,11.29,19.58,23.62,No,342608,Data Analyst,SQL + Power BI + Excel,7.16,8.29,6.05,9,1819991,3,Analytics,No,0.869,Information Technology,1.37,5.62,5.56
Bharti Airtel,Ahmedabad,Q1 2024,Stable,3.95,13.71,13.36,No,63289,Software Engineer,Node.js + React,7.76,8.3,6.66,9,1677280,4,Engineering,Yes,1.342,Telecommunications,1.88,6.5,5.41
Bajaj Auto,Noida,Q1 2024,Growth,7.44,11.61,10.37,Yes,8969,Accountant,Tally + Excel + GST,5.2,6.34,3.9,4,1299524,5,Finance,No,2.9,Manufacturing,1.42,6.7,6.07
Mahindra & Mahindra,Pune,Q2 2024,Growth,10.26,12.72,12.67,No,83073,Senior Software Engineer,Java + Spring Boot,7.8,8.16,6.81,5,2544615,3,Engineering,Yes,0.624,Manufacturing,0.94,6.02,5.73
Tata Motors,Bengaluru,Q1 2024,Growth,10.54,15.47,4.59,No,77225,Software Engineer,Python + FastAPI,8.3,7.6,7.63,9,2049009,4,Engineering,Yes,0.391,Manufacturing,1.1,6.24,6.07
Tech Mahindra Ltd.,Noida,Q3 2025,Recession,3.69,18.25,4.32,No,156858,HR Specialist,HRMS + Excel + Analytics,5.21,4.8,5.2,9,1516369,4,HR,Yes,3.172,Information Technology,2.55,6.25,5.58
Tata Consultancy Services (TCS),Noida,Q1 2024,Stable,11.4,17.52,16.22,Yes,535314,Data Analyst,SQL + Power BI + Excel,7.6,7.82,6.55,8,1723081,4,Analytics,Yes,1.449,Information Technology,1.71,6.43,5.78
ICICI Bank,Pune,Q2 2025,Growth,11.63,21.12,16.61,No,142643,QA Engineer,Selenium + Cypress + API Testing,6.03,8.56,6.24,6,1573644,2,Engineering,Yes,1.926,Financial Services,0.56,5.82,5.16
Cognizant India,Bengaluru,Q4 2025,Growth,12.91,20.27,17.29,Yes,271200,Product Manager,Product Analytics + SQL + A/B Testing,7.2,7.9,6.8,2,3686486,5,Product,Yes,1.156,Information Technology,1.53,5.55,5.41
Meta India,Mumbai,Q1 2023,Recovery,5.97,19.37,18.18,Yes,6574,DevOps Engineer,Terraform + CI/CD + GCP,8.71,7.36,7.57,3,3232912,5,Engineering,No,0.962,Information Technology,1.93,7.87,6.89
Tata Consultancy Services (TCS),Pune,Q2 2024,Recession,4.28,18.26,17.76,No,589221,Technical Lead,Kubernetes + AWS,7.51,8.49,7.86,3,2513272,3,Engineering,Yes,2.083,Information Technology,2.57,6.45,5.33
